game_id,num_sb_events,innings
ANA201804020,1,3.0;
ANA201804040,2,2.0;5.0;
ANA201804060,2,4.0;8.1;
ANA201804070,1,2.0;
ANA201804080,1,4.1;
ANA201804200,1,5.1;
ANA201804210,2,3.0;8.1;
ANA201804220,1,4.0;
ANA201804270,1,1.1;
ANA201804290,1,9.1;
ANA201805020,1,2.1;
ANA201805030,1,3.1;
ANA201805110,1,6.1;
ANA201805120,2,9.0;11.1;
ANA201805130,1,4.1;
ANA201805140,1,2.1;
ANA201805150,2,1.1;9.0;
ANA201805170,1,7.0;
ANA201805180,1,9.0;
ANA201805190,1,8.1;
ANA201805200,3,1.1;5.1;
ANA201806020,1,6.1;
ANA201806040,1,2.0;
ANA201806050,1,5.1;
ANA201806060,1,5.0;
ANA201806180,1,1.1;
ANA201806210,1,6.1;
ANA201806230,1,9.0;
ANA201806240,1,8.1;
ANA201807060,1,9.1;
ANA201807100,2,4.1;6.1;
ANA201807120,2,3.1;5.1;
ANA201807220,1,1.1;
ANA201807230,6,5.1;6.0;6.1;7.0;7.1;9.0;
ANA201807240,1,1.1;
ANA201807250,1,4.1;
ANA201807260,2,6.1;7.1;
ANA201807270,2,10.0;
ANA201807290,3,1.0;7.0;8.0;
ANA201808060,2,3.0;8.1;
ANA201808070,3,1.1;2.1;5.1;
ANA201808080,1,6.1;
ANA201808120,1,5.1;
ANA201808240,1,9.0;
ANA201808250,1,2.1;
ANA201808260,1,8.0;
ANA201808270,4,2.0;4.1;5.0;8.1;
ANA201808280,3,4.0;4.1;7.0;
ANA201809100,1,4.1;
ANA201809110,3,2.1;6.1;8.0;
ANA201809140,1,5.0;
ANA201809150,1,8.0;
ANA201809160,3,1.0;2.1;8.1;
ANA201809280,2,2.1;5.0;
ANA201809290,3,2.0;5.1;9.1;
ANA201809300,1,1.1;
ARI201803290,1,6.1;
ARI201803300,2,1.1;3.0;
ARI201803310,1,6.0;
ARI201804020,1,12.1;
ARI201804040,2,2.1;6.1;
ARI201804180,2,6.0;10.0;
